REGION,DISTRICT,YEAR,CROP,AREA (Ha),YIELD (Mt/Ha),PRODUCTION (Mt),,
ASHANTI,Bekwai municipal (Amansie East),2013,Maize,3400,2.4,8160,,
ASHANTI,Bosome Freho,2013,Maize,2250,1.1,2475,,
ASHANTI,Amansie Central,2013,Maize,4746,1.1,5220.6,,
ASHANTI,Amansie West,2013,Maize,3186,2.4,7646.4,,
ASHANTI,Ejura Sekyedumase,2013,Maize,20420,1.3,26546,,
ASHANTI,Mampong Municipal (Sekyere West) ,2013,Maize,11350,1.2,13620,,
ASHANTI,Sekyere Central,2013,Maize,7100,1.4,9940,,
ASHANTI,Sekyere East,2013,Maize,5560,1.8,10008,,
ASHANTI,Sekyere Afram Plains,2013,Maize,2450,1.2,2940,,
ASHANTI,Sekyere South,2013,Maize,5400,1.3,7020,,
ASHANTI,Afigya Kwabre,2013,Maize,3200,1.3,4160,,
ASHANTI,Ahafo Ano North,2013,Maize,10270,1.1,11297,,
ASHANTI,Ahafo Ano South,2013,Maize,10050,1.1,11055,,
ASHANTI,Atwima Mponua,2013,Maize,3680,1.4,5152,,
ASHANTI,Atwima Nwabiagya,2013,Maize,5700,1.5,8550,,
ASHANTI,Ejusu Juaben,2013,Maize,3500,1.1,3850,,
ASHANTI,Bosumtwe,2013,Maize,1650,1.1,1815,,
ASHANTI,Atwima Kwanwoma,2013,Maize,2150,1.1,2365,,
ASHANTI,Kwabre East,2013,Maize,830,1.1,913,,
ASHANTI,Offinso,2013,Maize,9040,1.3,11752,,
ASHANTI,Offinso North,2013,Maize,13150,1.2,15780,,
ASHANTI,Adansi North,2013,Maize,3770,1.1,4147,,
ASHANTI,Obuasi Municipal (Adansi West),2013,Maize,960,1.1,1056,,
ASHANTI,Adansi  South (East),2013,Maize,3530,1.1,3883,,
ASHANTI,Asante Akim North,2013,Maize,12250,1.3,15925,,
ASHANTI,Asante Akim South,2013,Maize,5558,1.1,6113.8,,
ASHANTI,K. M. A.,2013,Maize,330,1.2,396,,
ASHANTI,Bekwai municipal (Amansie East),2013,Rice,97,2.7,261.9,,
ASHANTI,Bosome Freho,2013,Rice,386,2.8,1080.8,,
ASHANTI,Amansie Central,2013,Rice,36,2.5,90,,
ASHANTI,Amansie West,2013,Rice,56,2.2,123.2,,
ASHANTI,Ejura Sekyedumase,2013,Rice,3609,2.9,10466.1,,
ASHANTI,Mampong Municipal (Sekyere West) ,2013,Rice,45,2.6,117,,
ASHANTI,Sekyere Central,2013,Rice,76,2.8,212.8,,
ASHANTI,Sekyere East,2013,Rice,162,2.3,372.6,,
ASHANTI,Sekyere Afram Plains,2013,Rice,102,2.7,275.4,,
ASHANTI,Sekyere South,2013,Rice,112,2.6,291.2,,
ASHANTI,Afigya Kwabre,2013,Rice,180,2.6,468,,
ASHANTI,Ahafo Ano North,2013,Rice,485,3.5,1697.5,,
ASHANTI,Ahafo Ano South,2013,Rice,921,3.6,3315.6,,
ASHANTI,Atwima Mponua,2013,Rice,996,2.7,2689.2,,
ASHANTI,Atwima Nwabiagya,2013,Rice,585,3.1,1813.5,,
ASHANTI,Ejusu Juaben,2013,Rice,685,3.4,2329,,
ASHANTI,Bosumtwe,2013,Rice,193,2.6,501.8,,
ASHANTI,Atwima Kwanwoma,2013,Rice,274,2.6,712.4,,
ASHANTI,Kwabre East,2013,Rice,112,2.5,280,,
ASHANTI,Offinso,2013,Rice,193,2.9,559.7,,
ASHANTI,Offinso North,2013,Rice,311,3,933,,
ASHANTI,Adansi North,2013,Rice,417,2.7,1125.9,,
ASHANTI,Obuasi Municipal (Adansi West),2013,Rice,58,2.6,150.8,,
ASHANTI,Adansi  South (East),2013,Rice,2173,2.6,5649.8,,
ASHANTI,Asante Akim North,2013,Rice,498,3.1,1543.8,,
ASHANTI,Asante Akim South,2013,Rice,460,2.4,1104,,
ASHANTI,K. M. A.,2013,Rice,78,3,234,,
ASHANTI,Bekwai municipal (Amansie East),2013,Cassava,4200,25,105000,,
ASHANTI,Bosome Freho,2013,Cassava,2100,18,37800,,
ASHANTI,Amansie Central,2013,Cassava,6437,17,109429,,
ASHANTI,Amansie West,2013,Cassava,3420,26,88920,,
ASHANTI,Ejura Sekyedumase,2013,Cassava,3400,15,51000,,
ASHANTI,Mampong Municipal (Sekyere West) ,2013,Cassava,6800,21,142800,,
ASHANTI,Sekyere Central,2013,Cassava,5160,21,108360,,
ASHANTI,Sekyere East,2013,Cassava,3250,40,130000,,
ASHANTI,Sekyere Afram Plains,2013,Cassava,1780,19,33820,,
ASHANTI,Sekyere South,2013,Cassava,4927,17,83759,,
ASHANTI,Afigya Kwabre,2013,Cassava,4360,17,74120,,
ASHANTI,Ahafo Ano North,2013,Cassava,5880,17,99960,,
ASHANTI,Ahafo Ano South,2013,Cassava,10950,20,219000,,
ASHANTI,Atwima Mponua,2013,Cassava,5250,19,99750,,
ASHANTI,Atwima Nwabiagya,2013,Cassava,6350,20,127000,,
ASHANTI,Ejusu Juaben,2013,Cassava,5800,18,104400,,
ASHANTI,Bosumtwe,2013,Cassava,2080,17,35360,,
ASHANTI,Atwima Kwanwoma,2013,Cassava,3000,17,51000,,
ASHANTI,Kwabre East,2013,Cassava,4100,17,69700,,
