REGION,DISTRICT,YEAR,CROP,YIELD,SAVANNAH
NORTHERN,Bole,2016,Groundnut,1.6,
NORTHERN,Bunkpurugu Yonyo,2016,Groundnut,1.36,
NORTHERN,Central Gonja,2016,Groundnut,1,
NORTHERN,East Gonja,2016,Groundnut,2.14,
NORTHERN,Kpandai,2016,Groundnut,2.21,
NORTHERN,East Mamprusi,2016,Groundnut,1.61,
NORTHERN,Gushiegu,2016,Groundnut,1.45,
NORTHERN,Karaga,2016,Groundnut,1.58,
NORTHERN,Nanumba North,2016,Groundnut,1.8,
NORTHERN,Nanumba South,2016,Groundnut,1.49,
NORTHERN,Saboba,2016,Groundnut,1.5,
NORTHERN,Chereponi,2016,Groundnut,1,
NORTHERN,Savelugu Nanton,2016,Groundnut,2.63,
NORTHERN,Sawla/Tuna/Kalba,2016,Groundnut,1.01,
NORTHERN,Tamale Metro,2016,Groundnut,1.66,
NORTHERN,Tolon,2016,Groundnut,1.6,
NORTHERN,Kumbungu,2016,Groundnut,1.6,
NORTHERN,West Gonja,2016,Groundnut,1.56,
NORTHERN,West Mamprusi,2016,Groundnut,1.59,
NORTHERN,Yendi,2016,Groundnut,1.41,
NORTHERN,Zabzugu,2016,Groundnut,2.02,
NORTHERN,Tatale,2016,Groundnut,2.02,
NORTHERN,Bole,2016,Cowpea,1.2,
NORTHERN,Bunkpurugu Yonyo,2016,Cowpea,1.8,
NORTHERN,Central Gonja,2016,Cowpea,1.91,
NORTHERN,East Gonja,2016,Cowpea,1.82,
NORTHERN,Kpandai,2016,Cowpea,2,
NORTHERN,East Mamprusi,2016,Cowpea,1.61,
NORTHERN,Gushiegu,2016,Cowpea,3.68,
NORTHERN,Karaga,2016,Cowpea,1.34,
NORTHERN,Nanumba North,2016,Cowpea,2,
NORTHERN,Nanumba South,2016,Cowpea,1.8,
NORTHERN,Saboba,2016,Cowpea,1.63,
NORTHERN,Chereponi,2016,Cowpea,1,
NORTHERN,Savelugu Nanton,2016,Cowpea,1.74,
NORTHERN,Sawla/Tuna/Kalba,2016,Cowpea,1.63,
NORTHERN,Tamale Metro,2016,Cowpea,1.29,
NORTHERN,Tolon,2016,Cowpea,1.99,
NORTHERN,Kumbungu,2016,Cowpea,1.99,
NORTHERN,West Gonja,2016,Cowpea,1.62,
NORTHERN,West Mamprusi,2016,Cowpea,1.3,
NORTHERN,Yendi,2016,Cowpea,2.47,
NORTHERN,Zabzugu,2016,Cowpea,1.6,
NORTHERN,Tatale,2016,Cowpea,1.6,
NORTHERN ,Central Gonja,2006,MAIZE,1.12,
NORTHERN ,West Gonja,2006,MAIZE,1.12,
NORTHERN ,Yendi,2006,MAIZE,1.5,
NORTHERN ,Nanumba North,2006,MAIZE,1.4,
NORTHERN ,Nanumba South,2006,MAIZE,1.4,
NORTHERN ,Karaga,2006,MAIZE,1.56,
NORTHERN ,Gushiegu,2006,MAIZE,1.56,
NORTHERN ,Bunkpurugu Yonyo,2006,MAIZE,1.05,
NORTHERN ,East Mamprusi,2006,MAIZE,1.05,
NORTHERN ,Savelugu Nanton,2006,MAIZE,0.98,
NORTHERN ,East Gonja,2006,MAIZE,0.97,
NORTHERN ,Tamale Metro,2006,MAIZE,1.5,
NORTHERN ,Sawla/Tuna/Kalba,2006,MAIZE,1.15,
NORTHERN ,Bole,2006,MAIZE,1.15,
NORTHERN ,Saboba,2006,MAIZE,0.86,
NORTHERN ,Tolon,2006,MAIZE,0.68,
NORTHERN ,Kumbungu,2006,MAIZE,0.68,
NORTHERN ,West Mamprusi,2006,MAIZE,1.64,
NORTHERN ,Zabzugu,2006,MAIZE,0.8,
NORTHERN ,Tatale,2006,MAIZE,0.8,
NORTHERN ,Central Gonja,2006,GROUNDNUT,0.79,
NORTHERN ,West Gonja,2006,GROUNDNUT,0.79,
NORTHERN ,Yendi,2006,GROUNDNUT,0.68,
NORTHERN ,Nanumba North,2006,GROUNDNUT,0.56,
