REGION,DISTRICT,YEAR,CROP,YIELD,
ASHANTI,Bekwai muni (Amansie East),2006,MAIZE,1.14,
ASHANTI, Amansie Central,2006,MAIZE,1.13,
ASHANTI,Amansie West,2006,MAIZE,1.05,
ASHANTI,Ejura Sekyedumase,2006,MAIZE,1.22,
ASHANTI,Sekyere West ,2006,MAIZE,1.31,
ASHANTI,Sekyere East,2006,MAIZE,1.33,
ASHANTI,Afigya Sekyere,2006,MAIZE,0.59,
ASHANTI,Ahafo Ano North,2006,MAIZE,1.31,
ASHANTI,Ahafo Ano South,2006,MAIZE,1.49,
ASHANTI,Atwima Mponua,2006,MAIZE,1.43,
ASHANTI,Atwima Nwabiagya,2006,MAIZE,1.42,
ASHANTI,Ejusu Juaben,2006,MAIZE,1.09,
ASHANTI,Bosumtwe-Atwima-Kwanwoma,2006,MAIZE,1.17,
ASHANTI,Kwabre ,2006,MAIZE,1.41,
ASHANTI,Offinso,2006,MAIZE,1.27,
ASHANTI,Adansi North,2006,MAIZE,1.02,
ASHANTI,Obuasi Municipal (Adansi West),2006,MAIZE,1.16,
ASHANTI,Adansi  South (East),2006,MAIZE,0.94,
ASHANTI,Asante Akim North,2006,MAIZE,2.09,
ASHANTI,Asante Akim South,2006,MAIZE,1.18,
ASHANTI,K. M. A.,2006,MAIZE,1.24,
ASHANTI,Ejura Sekyedumase,2006,GROUNDNUT,1.42,
ASHANTI,Bekwai muni (Amansie East),2007,MAIZE,1.18,
ASHANTI, Amansie Central,2007,MAIZE,1.14,
ASHANTI,Amansie West,2007,MAIZE,1.1,
ASHANTI,Ejura Sekyedumase,2007,MAIZE,1.25,
ASHANTI,Sekyere West ,2007,MAIZE,1.35,
ASHANTI,Sekyere East,2007,MAIZE,1.38,
ASHANTI,Afigya Sekyere,2007,MAIZE,0.8,
ASHANTI,Ahafo Ano North,2007,MAIZE,1.32,
ASHANTI,Ahafo Ano South,2007,MAIZE,1.5,
ASHANTI,Atwima Mponua,2007,MAIZE,1.45,
ASHANTI,Atwima Nwabiagya,2007,MAIZE,1.45,
ASHANTI,Ejusu Juaben,2007,MAIZE,1.14,
ASHANTI,Bosumtwe-Atwima-Kwanwoma,2007,MAIZE,1.25,
ASHANTI,Kwabre ,2007,MAIZE,1.43,
ASHANTI,Offinso,2007,MAIZE,1.29,
ASHANTI,Adansi North,2007,MAIZE,1.09,
ASHANTI,Obuasi Municipal (Adansi West),2007,MAIZE,1.2,
ASHANTI,Adansi  South (East),2007,MAIZE,1.1,
ASHANTI,Asante Akim North,2007,MAIZE,1.45,
ASHANTI,Asante Akim South,2007,MAIZE,1.2,
ASHANTI,K. M. A.,2007,MAIZE,1.24,
ASHANTI,Ejura Sekyedumase,2007,GROUNDNUT,1.45,
ASHANTI,Bekwai muni (Amansie East),2008,MAIZE,1.2,
ASHANTI, Amansie Central,2008,MAIZE,1.2,
ASHANTI,Amansie West,2008,MAIZE,1.2,
ASHANTI,Ejura Sekyedumase,2008,MAIZE,1.25,
ASHANTI,Sekyere West ,2008,MAIZE,1.25,
ASHANTI,Sekyere East,2008,MAIZE,1.25,
ASHANTI,Afigya Sekyere,2008,MAIZE,1.3,
ASHANTI,Ahafo Ano North,2008,MAIZE,1.3,
ASHANTI,Ahafo Ano South,2008,MAIZE,1.3,
ASHANTI,Atwima Mponua,2008,MAIZE,1.3,
ASHANTI,Atwima Nwabiagya,2008,MAIZE,1.3,
ASHANTI,Ejusu Juaben,2008,MAIZE,1.25,
ASHANTI,Bosumtwe-Atwima-Kwanwoma,2008,MAIZE,1.25,
ASHANTI,Kwabre ,2008,MAIZE,1.25,
ASHANTI,Offinso,2008,MAIZE,1.25,
ASHANTI,Adansi North,2008,MAIZE,1.2,
ASHANTI,Obuasi Municipal (Adansi West),2008,MAIZE,1.2,
ASHANTI,Adansi  South (East),2008,MAIZE,1.2,
ASHANTI,Asante Akim North,2008,MAIZE,1.25,
ASHANTI,Asante Akim South,2008,MAIZE,1.25,
ASHANTI,K. M. A.,2008,MAIZE,1.2,
ASHANTI,Ejura Sekyedumase,2008,GROUNDNUT,1.45,
ASHANTI,Bekwai muni (Amansie East),2009,MAIZE,1.29,
ASHANTI, Amansie Central,2009,MAIZE,1.24,
ASHANTI,Amansie West,2009,MAIZE,1.21,
ASHANTI,Ejura Sekyedumase,2009,MAIZE,1.25,
ASHANTI,Sekyere West ,2009,MAIZE,1.22,
ASHANTI,Sekyere East,2009,MAIZE,1.32,
ASHANTI,Afigya Sekyere,2009,MAIZE,1.48,
ASHANTI,Ahafo Ano North,2009,MAIZE,1.42,
ASHANTI,Ahafo Ano South,2009,MAIZE,1.27,
ASHANTI,Atwima Mponua,2009,MAIZE,1.21,
ASHANTI,Atwima Nwabiagya,2009,MAIZE,1.36,
ASHANTI,Ejusu Juaben,2009,MAIZE,1.22,
ASHANTI,Bosumtwe-Atwima-Kwanwoma,2009,MAIZE,1.24,
ASHANTI,Kwabre ,2009,MAIZE,1.4,
ASHANTI,Offinso,2009,MAIZE,1.22,
ASHANTI,Adansi North,2009,MAIZE,1.2,
ASHANTI,Obuasi Municipal (Adansi West),2009,MAIZE,1.3,
ASHANTI,Adansi  South (East),2009,MAIZE,1.18,
ASHANTI,Asante Akim North,2009,MAIZE,1.25,
ASHANTI,Asante Akim South,2009,MAIZE,1.27,
ASHANTI,K. M. A.,2009,MAIZE,1.27,
ASHANTI,Ejura Sekyedumase,2009,GROUNDNUT,1.47,
ASHANTI,Bekwai muni (Amansie East),2010,MAIZE,1.5,
ASHANTI, Amansie Central,2010,MAIZE,1.5,
ASHANTI,Amansie West,2010,MAIZE,1.5,
ASHANTI,Ejura Sekyedumase,2010,MAIZE,1.8,
ASHANTI,Sekyere West ,2010,MAIZE,1.8,
ASHANTI,Sekyere East,2010,MAIZE,1.7,
ASHANTI,Afigya Sekyere,2010,MAIZE,1.5,
ASHANTI,Ahafo Ano North,2010,MAIZE,1.5,
ASHANTI,Ahafo Ano South,2010,MAIZE,1.6,
ASHANTI,Atwima Mponua,2010,MAIZE,1.5,
ASHANTI,Atwima Nwabiagya,2010,MAIZE,1.7,
ASHANTI,Ejusu Juaben,2010,MAIZE,1.5,
ASHANTI,Bosumtwe-Atwima-Kwanwoma,2010,MAIZE,1.5,
ASHANTI,Kwabre ,2010,MAIZE,1.5,
ASHANTI,Offinso,2010,MAIZE,1.8,
ASHANTI,Adansi North,2010,MAIZE,1.6,
ASHANTI,Obuasi Municipal (Adansi West),2010,MAIZE,1.5,
ASHANTI,Adansi  South (East),2010,MAIZE,1.5,
ASHANTI,Asante Akim North,2010,MAIZE,1.7,
ASHANTI,Asante Akim South,2010,MAIZE,1.5,
ASHANTI,K. M. A.,2010,MAIZE,1.5,
ASHANTI,Ejura Sekyedumase,2010,GROUNDNUT,1.45,
ASHANTI,Sekyere West ,2010,GROUNDNUT,1.4,
ASHANTI,Sekyere East,2010,GROUNDNUT,1.3,
ASHANTI,Afigya Sekyere,2010,GROUNDNUT,1.2,
ASHANTI,Offinso,2010,GROUNDNUT,1.3,
ASHANTI,Ejura Sekyedumase,2010,  COWPEA,0.64,
ASHANTI,Sekyere East,2010,  COWPEA,0.8,
ASHANTI,Ahafo Ano North,2010,  COWPEA,1.09,
ASHANTI,Bosumtwe-Atwima-Kwanwoma,2010,  COWPEA,0.6,
ASHANTI,Offinso,2010,  COWPEA,0.7,
ASHANTI,Asante Akim North,2010,  COWPEA,0.8,
ASHANTI,Bekwai municipal (Amansie East),2011,MAIZE,1,
ASHANTI, Amansie Central,2011,MAIZE,1.1,
ASHANTI,Amansie West,2011,MAIZE,1,
ASHANTI,Ejura Sekyedumase,2011,MAIZE,1.18,
ASHANTI,Sekyere West ,2011,MAIZE,1.2,
ASHANTI,Sekyere East,2011,MAIZE,1.2,
ASHANTI,Afigya Sekyere,2011,MAIZE,1.1,
ASHANTI,Ahafo Ano North,2011,MAIZE,1,
ASHANTI,Ahafo Ano South,2011,MAIZE,1.1,
ASHANTI,Atwima Mponua,2011,MAIZE,1.2,
ASHANTI,Atwima Nwabiagya,2011,MAIZE,1.2,
ASHANTI,Ejusu Juaben,2011,MAIZE,1,
