name_adm2,maiz_r
Kintampo,41868.6
Nkoranza,34517.1
Sunyani,33962.3
Dormaa,30935.9
Afram Plains,30002.2
Wa,23388.1
Sissala,22617.6
Ejura-Sekyedumasi,21491.7
Offinso,18369.3
Fanteakwa,17569.3
Bole,16857.6
Assin,16768.9
Bawku East,16699.2
West Akim,14880.1
Berekum,14366.2
Nadowli,13892.6
Komenda/Edina Aguafo,13492.9
East Akim,13452.9
Asuogyaman,13181.1
Techiman,13019.1
Wenchi,12943.7
Birim South,12664.8
Tano,12645.3
Asante Akim North,12501.2
Sekyere East,12388.5
West Gonja,11825.2
Sekyere West,11662.3
Sefwi-Wiawso,11389.1
Asunafo,11282.7
Shama Ahanta East,11149.6
Awutu/Efutu/Senya,11026.3
Gushiegu,10992.8
Karaga,10992.8
Ahafo Ano North,10453.9
Aowin Suaman,10371.1
Hohoe,10229.1
Wassa Amenfi,10170.8
Tolon,10168.1
Kumbungu,10168.1
Ahafo Ano South,10125.5
Jaman,10066
Amansie East,9832.1
Upper Denkyira,9769.2
Zabzugu,9768
Tatale,9768
Akwapim North,9766.2
Sene,9762.3
Atwima,9737.3
Gomoa,9721
Savelgu Nanton,9682.6
Akwapim South,9595.6
Yilo Krobo,9561.8
Birim North,9359.8
Kwahu South,9165.7
Suhum/Kraboa/Coaltar,8999
Tamale North Sub Metro,8807.1
Yendi Municipal,8566.6
Bolgatanga,8532.5
Mfantsiman,8511
Nanumba North,8257.6
Nanumba South,8257.6
Manya Krobo,7775.9
Kasena/Nankani,7617.6
Cape Coast,7431
Kwaebibirem,7088.7
Afigya Sekyere,7033
Nkwanta,6955.4
Ho,6681.2
East Gonja,6608.8
Jirapa/Lambussie,6472
Kpandu,6340.6
Bawku West,6139.4
West Mamprusi,5951.6
Asante Akim South,5648.2
Bibiani Anhwiaso-Bekwai,5599.1
Builsa,5580.9
Kete-Krachi,5497.6
Bongo,5475.3
Asutifi,5462.8
Atebubu,5294.6
Abura/Asebu/Kwamankese,5178.9
Jasikan,5014.2
Ajumako Enyan,4976.1
Asikuma/Odoben/Brakwa,4794.1
Adansi West,4658.1
Jomoro,4444.9
Kadjebi,4377.2
East Mamprusi,4281.8
Twifu Heman/Lower Denkyira,4156.9
Ketu,3833.1
Agona,3757.7
Adansi East,3717.9
Lawra,3630.9
Saboba/Chereponi,3588.8
Ejusu/Juaben,3544.9
Akatsi,3441
Amansie West,3140.1
New Juaben,2945.6
Wassa West,2929
Mpohor Wassa,2807.8
North Tongu,2772.1
Juabeso-Bia,2724.1
South Tongu,2306
Nzema East,2268.9
Bosomtwi Kwanwoma,2031.9
Ahanta West,1581.1
Ga,1414.2
Keta,1188
Dangbe West,1143.8
Dangbe East,1098.1
Kwabere,989.2
Tema,251.9
Accra,26
Kumasi,11
