CODE,DATE,LAI 1,LAI 2,LAI 3,LAI 4,PLT. CHLRO 1,PLT. CHLOR 2,PLT CHLOR 3,PLT. CHLOR 4,PLT. CHLOR 5,District,Lattitde,Longitude,Farm size,Expected yield,Phynology Data,COMMENTS
7010SAM,06/09/2021,1.11,0.321,1.49,0.907,37.1,45,46.7,41.7,49.8,Gushegu,9.7951,-0.39869,,,Vegetative phase,
7020YAM,06/09/2021,0.764,1.64,1.51,1.13,46.4,50,43.6,44.9,47.2,Gushegu,9.72244,-0.51189,5,600,Vegetative phase,
7021YAM,06/09/2021,0.909,1.44,1.01,1.57,32.8,42.9,43.8,51.3,50.7,Gushegu,9.7005,-0.54113,105,1000,Tasseling/Anthesis,
1061ZIN,06/09/2021,1.51,0.0951,0.431,1.52,40.8,29.8,41.5,40.5,57.2,Gushegu,9.6342,-0.5124,4,1500,Vegetative phase,
1067ZIN,06/09/2021,0.861,0.842,0.734,0.678,41.5,44.2,38.4,41,43.8,Gushegu,9.62592,-0.55281,2,700,Vegetative phase,
1056ZIN,06/09/2021,0.929,2.34,2.09,1.24,46,45,62.2,43,46.3,Gushegu,9.58751,-0.56415,2,500,Vegetative phase,
7036FUU,07/09/2021,0.24,0.232,0.973,1.45,41.7,35.2,40.6,29.8,40,Salaga N,9.26855,-0.61097,1,400,Vegetative phase,Field was earlier planted with groundnut
7035FUU,07/09/2021,1.55,1.2,1.14,0.884,53.3,49.1,34.5,51.2,52.6,Salaga N,9.2673,-0.6149,1,500,Vegetative phase,
4020FUU,07/09/2021,0.445,0.268,1.28,0.298,28.9,34.9,31.4,27.7,27.8,Salaga N,9.26789,-0.61545,1,500,Vegetative phase,
7034FUU,07/09/2021,0.458,0.835,1.47,1.74,46.2,41.5,44,43.2,45.7,Salaga N,9.25341,-0.62473,1,600,Vegetative phase,
7033FUU,07/09/2021,0.198,0.546,0.275,0.108,25.4,32.5,34.6,37.2,28.8,Salaga N,9.21881,-0.59813,1,600,Vegetative phase,Field was earlier planted with groundnut
